cluster_1	GPQ6GSM03C4C1P
cluster_2	GPQ6GSM04D8XFA
cluster_3	GPQ6GSM03DK9CK
cluster_4	GPQ6GSM03DPQ5Q
cluster_5	GPQ6GSM04EMEWF
cluster_6	GPQ6GSM04EKBUJ
cluster_7	GPQ6GSM04ESLJT
cluster_8	GPQ6GSM03DP7ID
cluster_9	GPQ6GSM03C4Y9R
cluster_10	GPQ6GSM04ENHIV
cluster_11	GPQ6GSM03DF6BP
cluster_12	GPQ6GSM03DAEWO
cluster_13	GPQ6GSM03DQRY3
cluster_14	GPQ6GSM04EP33Y
cluster_15	GPQ6GSM03C8C0J
cluster_16	GPQ6GSM04EEF65
cluster_17	GPQ6GSM03DBZ34
cluster_18	GPQ6GSM03DRJ13
cluster_19	GPQ6GSM04EDCQJ
cluster_20	GPQ6GSM03DGDPI
cluster_21	GPQ6GSM03DG12R
cluster_22	GPQ6GSM03DI49J
cluster_23	GPQ6GSM04EHWZ0
cluster_24	GPQ6GSM04D6F1Z
cluster_25	GPQ6GSM04EGYAY
cluster_26	GPQ6GSM03C6SUG
cluster_27	GPQ6GSM04EXR4I
cluster_28	GPQ6GSM03DFP07
cluster_29	GPQ6GSM03DMYKB
cluster_30	GPQ6GSM04D4HF2
cluster_31	GPQ6GSM03DFQ6W
cluster_32	GPQ6GSM04EROUP
cluster_33	GPQ6GSM04EEL51
cluster_34	GPQ6GSM03C1KLR
cluster_35	GPQ6GSM04D9N07
cluster_36	GPQ6GSM04ECY8E
cluster_37	GPQ6GSM03C2QPM
cluster_38	GPQ6GSM03DA662
cluster_39	GPQ6GSM04D3S26
cluster_40	GPQ6GSM03DH8AS
cluster_41	GPQ6GSM03C1SCN
cluster_42	GPQ6GSM04EUKP4
cluster_43	GPQ6GSM03DIZA4
cluster_44	GPQ6GSM04EKQC6
cluster_45	GPQ6GSM04D5QNL
cluster_46	GPQ6GSM04D621P
cluster_47	GPQ6GSM04EXY8D
cluster_48	GPQ6GSM03DFEQY
cluster_49	GPQ6GSM04EOYH7
cluster_50	GPQ6GSM04ECOAV
cluster_51	GPQ6GSM04D3WQ5
cluster_52	GPQ6GSM03DJ69O
cluster_53	GPQ6GSM03C3YX5
cluster_54	GPQ6GSM03DB891
cluster_55	GPQ6GSM04D7Y46
cluster_56	GPQ6GSM03C03F3
cluster_57	GPQ6GSM04ERZ4Q
cluster_58	GPQ6GSM03DPX9V
cluster_59	GPQ6GSM03DQQT5
cluster_60	GPQ6GSM03DHAAY
cluster_61	GPQ6GSM04EO5IV
cluster_62	GPQ6GSM04EVWQG
cluster_63	GPQ6GSM03C1BW5
cluster_64	GPQ6GSM04EXAGT
cluster_65	GPQ6GSM03CZ9GW
cluster_66	GPQ6GSM03DP2ZI
cluster_67	GPQ6GSM03C7UX8
cluster_68	GPQ6GSM04D9K4G
cluster_69	GPQ6GSM04ET377
cluster_70	GPQ6GSM03DGWOF
cluster_71	GPQ6GSM03C2D63
cluster_72	GPQ6GSM03C1CNJ
cluster_73	GPQ6GSM03CZOMA
cluster_74	GPQ6GSM03DL1W1
cluster_75	GPQ6GSM04EA5E2
cluster_76	GPQ6GSM03DBNC0
cluster_77	GPQ6GSM03DDB7E
cluster_78	GPQ6GSM04EHZP1
cluster_79	GPQ6GSM03C04QJ
cluster_80	GPQ6GSM04ECLS9
cluster_81	GPQ6GSM04EV8PH
cluster_82	GPQ6GSM04D5U8Z
cluster_83	GPQ6GSM04D8ZJK
cluster_84	GPQ6GSM03DBPNZ
cluster_85	GPQ6GSM03DJ8W8
cluster_86	GPQ6GSM03DJLRJ
cluster_87	GPQ6GSM03C5BCS
cluster_88	GPQ6GSM03DDGR1
cluster_89	GPQ6GSM03C66YX
cluster_90	GPQ6GSM04D34NS
cluster_91	GPQ6GSM03C02M0
cluster_92	GPQ6GSM03C7SMN
cluster_93	GPQ6GSM03DPU3C
cluster_94	GPQ6GSM03DDAFU
cluster_95	GPQ6GSM04EPH1W
cluster_96	GPQ6GSM03DE7B8
cluster_97	GPQ6GSM04D6I7F
cluster_98	GPQ6GSM03C0ZZP
cluster_99	GPQ6GSM04D4L79
cluster_100	GPQ6GSM04D689J
cluster_101	GPQ6GSM04EP53C
cluster_102	GPQ6GSM04ELY18
cluster_103	GPQ6GSM04EU1Y4
cluster_104	GPQ6GSM04EX7JY
cluster_105	GPQ6GSM04EQ92H
cluster_106	GPQ6GSM03C07W8
cluster_107	GPQ6GSM03DOO8B
cluster_108	GPQ6GSM04EKDCG
cluster_109	GPQ6GSM03CXEP0
cluster_110	GPQ6GSM03C4BCV
cluster_111	GPQ6GSM03DC3KX
cluster_112	GPQ6GSM04D52IT
cluster_113	GPQ6GSM04EOZ6S
cluster_114	GPQ6GSM03DEMS5
cluster_115	GPQ6GSM03DC0O5
cluster_116	GPQ6GSM03DF83W
cluster_117	GPQ6GSM04EVGOC
cluster_118	GPQ6GSM04ETZ48
cluster_119	GPQ6GSM04ETJ5D
cluster_120	GPQ6GSM04D5F2H
cluster_121	GPQ6GSM04EPABI
cluster_122	GPQ6GSM03C9H12
cluster_123	GPQ6GSM03DIT2W
cluster_124	GPQ6GSM03DFOF9
cluster_125	GPQ6GSM03DQ5LF
cluster_126	GPQ6GSM03DCLNN
cluster_127	GPQ6GSM03DJK8K
cluster_128	GPQ6GSM03C4E84
cluster_129	GPQ6GSM04EU9VV
cluster_130	GPQ6GSM04D7HWC
