#OTU ID	Sample_1	Sample_2	Sample_3	Sample_4
Otu39	1	2	1	0
Otu2	6	7	11	12
Otu11	1	3	2	1
Otu4	9	5	3	3
Otu1	13	12	2	10
Otu5	10	3	16	12
Otu17	4	5	1	4
Otu18	7	3	7	2
Otu48	1	3	0	0
Otu15	8	4	3	0
Otu8	5	1	7	2
Otu30	3	1	1	0
Otu16	1	2	2	4
Otu14	4	0	2	2
Otu54	2	0	1	0
Otu45	3	4	0	1
Otu6	2	3	4	8
Otu38	4	1	3	10
Otu43	1	0	4	4
Otu51	1	0	1	0
Otu46	1	1	2	0
Otu20	1	8	2	0
Otu49	1	0	3	2
Otu27	1	1	0	2
Otu25	1	1	3	3
Otu24	1	1	0	0
Otu44	1	3	0	0
Otu19	2	3	0	0
Otu31	2	2	2	4
Otu35	1	0	1	0
Otu53	1	1	2	2
Otu28	2	1	1	3
Otu32	1	6	0	2
Otu13	1	1	1	1
Otu21	1	7	0	4
Otu10	0	3	1	0
Otu9	0	3	1	2
Otu52	0	3	0	0
Otu22	0	2	0	3
Otu33	0	2	0	1
Otu12	0	0	5	0
Otu36	0	0	3	2
Otu7	0	0	7	4
Otu50	0	0	2	0
Otu47	0	0	1	1
Otu3	0	0	6	6
Otu55	0	0	2	0
Otu29	0	0	1	1
Otu41	0	0	1	1
Otu23	0	0	2	1
Otu34	0	0	2	0
Otu42	0	0	1	1
Otu40	0	0	1	1
Otu37	0	0	3	4
Otu26	0	0	0	3
